transaction_id|date|product_code|qty
392|2016-05-19|133|1.0
393|2016-05-20|133|1.0
394|2016-05-21|133|1.0
395|2016-05-22|133|1.0
396|2016-06-09|133|1.0
397|2016-06-20|133|1.0
398|2016-06-27|133|1.0
399|2016-06-28|133|1.0
400|2016-06-29|133|1.0
401|2016-07-19|133|1.0
402|2016-08-10|133|2.0
403|2016-08-11|133|1.0
404|2016-08-12|133|1.0
405|2016-08-13|133|1.0
406|2016-08-14|133|1.0
407|2016-08-15|133|1.0
408|2016-08-16|133|1.0
409|2016-08-17|133|1.0
410|2016-08-18|133|1.0
411|2016-08-19|133|1.0
412|2016-08-20|133|1.0
413|2016-08-21|133|1.0
414|2016-08-22|133|1.0
415|2016-08-23|133|1.0
416|2016-08-24|133|1.0
417|2016-08-25|133|1.0
418|2016-08-26|133|1.0
419|2016-08-27|133|1.0
420|2016-08-28|133|1.0
421|2016-08-29|133|1.0
422|2016-08-30|133|1.0
423|2016-10-07|133|1.0
424|2016-10-08|133|1.0
425|2016-10-09|133|1.0
426|2016-11-15|133|1.0
427|2016-11-16|133|1.0
428|2016-11-25|133|1.0
429|2016-11-26|133|1.0
430|2016-11-27|133|1.0
431|2016-11-30|133|1.0
432|2017-01-16|133|1.0
433|2017-01-17|133|1.0
434|2017-01-18|133|1.0
435|2017-01-19|133|1.0
436|2017-01-26|133|1.0
437|2017-01-31|133|1.0
438|2017-02-01|133|1.0
439|2017-02-02|133|1.0
440|2017-02-03|133|1.0
441|2017-02-04|133|1.0
442|2017-02-05|133|1.0
443|2017-02-06|133|1.0
444|2017-02-07|133|1.0
445|2017-03-28|133|1.0
446|2017-04-19|133|1.0
447|2017-04-20|133|1.0
448|2017-04-28|133|1.0
449|2017-04-29|133|1.0
450|2017-04-30|133|1.0
451|2017-05-01|133|1.0
452|2017-05-02|133|1.0
453|2017-05-03|133|1.0
454|2017-05-04|133|2.0
455|2017-05-05|133|2.0
456|2017-05-06|133|2.0
457|2017-05-07|133|2.0
458|2017-05-08|133|2.0
459|2017-05-09|133|2.0
460|2017-05-10|133|2.0
461|2017-05-11|133|2.0
462|2017-05-12|133|2.0
463|2017-05-13|133|2.0
464|2017-05-14|133|2.0
465|2017-05-15|133|1.0
466|2017-05-16|133|1.0
467|2017-05-17|133|1.0
468|2017-05-18|133|1.0
469|2017-05-19|133|1.0
470|2017-05-20|133|1.0
471|2017-05-21|133|1.0
472|2017-05-22|133|1.0
473|2017-05-23|133|1.0
474|2017-05-24|133|1.0
475|2017-05-25|133|1.0
476|2017-05-26|133|1.0
477|2017-05-27|133|1.0
478|2017-05-28|133|1.0
479|2017-05-29|133|1.0
480|2017-05-30|133|1.0
481|2017-05-31|133|1.0
482|2017-06-09|133|1.0
483|2017-06-10|133|1.0
484|2017-06-11|133|1.0
485|2017-06-12|133|1.0
486|2017-06-13|133|1.0
487|2017-06-14|133|1.0
488|2017-06-15|133|1.0
489|2017-07-06|133|1.0
490|2017-07-07|133|1.0
491|2017-07-08|133|1.0
492|2017-07-09|133|1.0
493|2017-07-10|133|1.0
494|2017-07-11|133|1.0
495|2017-07-18|133|1.0
496|2017-07-19|133|1.0
497|2017-07-20|133|1.0
498|2017-07-25|133|1.0
499|2017-07-28|133|1.0
500|2017-07-29|133|1.0
501|2017-07-30|133|1.0
502|2017-07-31|133|1.0
503|2017-08-01|133|1.0
504|2017-08-02|133|1.0
505|2017-08-24|133|1.0
506|2017-08-28|133|1.0
507|2017-09-12|133|1.0
508|2017-10-09|133|1.0
509|2017-10-16|133|1.0
510|2017-10-17|133|1.0
511|2017-10-18|133|1.0
512|2017-10-19|133|1.0
513|2017-10-20|133|2.0
514|2017-10-21|133|2.0
515|2017-10-22|133|2.0
516|2017-10-23|133|1.0
517|2017-10-24|133|1.0
518|2017-10-27|133|1.0
519|2017-11-21|133|1.0
520|2017-11-23|133|1.0
521|2017-11-24|133|1.0
522|2017-11-30|133|1.0
523|2017-12-04|133|1.0
524|2017-12-06|133|1.0
525|2017-12-18|133|1.0
526|2017-12-19|133|1.0
527|2018-01-23|133|1.0
528|2018-01-24|133|2.0
529|2018-01-25|133|2.0
530|2018-01-26|133|1.0
531|2018-01-27|133|1.0
